model,category,item,attributes,attribute_scores,basic_measure,log_measure,frequency
Qwen2.5-72B-Instruct,Fruit,strawberry,"['heart-shaped', 'red', 'seedy', 'sweet', 'vibrant', 'summery', 'juicy', 'fresh', 'fragrant', 'small', 'summer']","[np.int64(1), np.int64(5), np.int64(3), np.int64(13), np.int64(5), np.int64(3), np.int64(12), np.int64(4), np.int64(3), np.int64(7), np.int64(3)]",59,15.99538549696538,30
Qwen2.5-72B-Instruct,Clothing,apron,"['colorful', 'protective', 'versatile', 'modern', 'fabric', 'adjustable', 'durable', 'cooking', 'utility', 'ties', 'waist', 'traditional', 'decorative', 'kitchen', 'wearable', 'cleaning', 'breathable', 'lightweight', 'washable', 'patterned', 'stain-resistant', 'pocket', 'tie']","[np.int64(12), np.int64(5), np.int64(13), np.int64(1), np.int64(6), np.int64(3), np.int64(8), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(16), np.int64(13), np.int64(3), np.int64(6), np.int64(1), np.int64(1), np.int64(1)]",103,22.34192370664512,7
Qwen2.5-72B-Instruct,Clothing,blazer,"['versatile', 'single-breasted', 'woolen', 'fitted', 'elegant', 'business', 'professional', 'polished', 'buttoned', 'chic', 'structured', 'stylish', 'formal', 'double-breasted', 'tailored', 'classic']","[np.int64(13), np.int64(1), np.int64(2), np.int64(7), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(1), np.int64(1), np.int64(14), np.int64(6), np.int64(1), np.int64(1), np.int64(2)]",57,12.119730135708108,5
Qwen2.5-72B-Instruct,Clothing,cloak,"['dark', 'layered', 'warm', 'protective', 'hooded', 'functional', 'versatile', 'ornamental', 'heavy', 'sleeveless', 'fabric', 'adjustable', 'long', 'ceremonial', 'mysterious', 'traditional', 'concealing', 'flowing', 'stylish', 'travel']","[np.int64(2), np.int64(4), np.int64(9), np.int64(5), np.int64(4), np.int64(1), np.int64(13), np.int64(1), np.int64(5), np.int64(5), np.int64(6), np.int64(3), np.int64(3), np.int64(2), np.int64(1), np.int64(4), np.int64(1), np.int64(2), np.int64(14), np.int64(1)]",86,22.45685367331909,7
Qwen2.5-72B-Instruct,Clothing,coat,"['waterproof', 'lined', 'water-resistant', 'colorful', 'warm', 'protective', 'hooded', 'cotton', 'zipped', 'heavy', 'insulated', 'sleeveless', 'wool', 'synthetic', 'fabric', 'formal', 'casual', 'unlined', 'long', 'leather', 'light', 'short', 'down', 'wearable', 'breathable', 'buttoned', 'outer', 'stylish', 'fur']","[np.int64(3), np.int64(1), np.int64(2), np.int64(12), np.int64(9), np.int64(5), np.int64(4), np.int64(7), np.int64(2), np.int64(5), np.int64(3), np.int64(5), np.int64(2), np.int64(2), np.int64(6), np.int64(6), np.int64(13), np.int64(1), np.int64(3), np.int64(2), np.int64(3), np.int64(2), np.int64(1), np.int64(3), np.int64(16), np.int64(3), np.int64(1), np.int64(14), np.int64(1)]",137,35.15332063774273,30
Qwen2.5-72B-Instruct,Clothing,hoodie,"['zip-up', 'unisex', 'layered', 'zipper', 'colorful', 'comfortable', 'warm', 'hooded', 'cotton', 'versatile', 'fitted', 'soft', 'insulated', 'fabric', 'durable', 'casual', 'loose', 'drawstring', 'printed', 'cozy', 'embroidered', 'pocketed', 'pullover', 'sporty', 'breathable', 'lightweight', 'patterned', 'stylish', 'fleece-lined']","[np.int64(1), np.int64(2), np.int64(4), np.int64(1), np.int64(12), np.int64(13), np.int64(9), np.int64(4), np.int64(7), np.int64(13), np.int64(7), np.int64(5), np.int64(3), np.int64(6), np.int64(8), np.int64(13), np.int64(8), np.int64(1), np.int64(4), np.int64(5), np.int64(2), np.int64(2), np.int64(1), np.int64(5), np.int64(16), np.int64(13), np.int64(6), np.int64(14), np.int64(1)]",186,44.15304767976173,28
Qwen2.5-72B-Instruct,Clothing,jacket,"['monochrome', 'water-resistant', 'colorful', 'warm', 'protective', 'hooded', 'versatile', 'zipped', 'heavy', 'fitted', 'long-sleeved', 'soft', 'insulated', 'sleeveless', 'durable', 'formal', 'casual', 'loose', 'smooth', 'textured', 'breathable', 'buttoned', 'lightweight', 'stylish']","[np.int64(1), np.int64(2), np.int64(12), np.int64(9), np.int64(5), np.int64(4), np.int64(13), np.int64(2), np.int64(5), np.int64(7), np.int64(4), np.int64(5), np.int64(3), np.int64(5), np.int64(8), np.int64(6), np.int64(13), np.int64(8), np.int64(1), np.int64(2), np.int64(16), np.int64(3), np.int64(13), np.int64(14)]",161,39.17218454399913,30
Qwen2.5-72B-Instruct,Clothing,jean,"['flexible', 'versatile', 'dark', 'straight', 'distressed', 'tapered', 'breathable', 'blue', 'washable', 'durable', 'comfortable', 'casual', 'stylish', 'fade-resistant', 'light', 'classic', 'rugged']","[np.int64(4), np.int64(13), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(16), np.int64(1), np.int64(3), np.int64(8), np.int64(13), np.int64(13), np.int64(14), np.int64(1), np.int64(3), np.int64(2), np.int64(1)]",97,20.155748965495484,12
Qwen2.5-72B-Instruct,Clothing,leggings,"['snug', 'leg-length', 'practical', 'comfortable', 'warm', 'sleek', 'flexible', 'versatile', 'durable', 'skin-tight', 'casual', 'elastic', 'thin', 'form-fitting', 'sporty', 'breathable', 'everyday', 'lightweight', 'moisture-wicking', 'stretchy', 'stylish', 'tight', 'fashionable']","[np.int64(2), np.int64(1), np.int64(2), np.int64(13), np.int64(9), np.int64(1), np.int64(4), np.int64(13), np.int64(8), np.int64(1), np.int64(13), np.int64(3), np.int64(2), np.int64(2), np.int64(5), np.int64(16), np.int64(2), np.int64(13), np.int64(1), np.int64(3), np.int64(14), np.int64(1), np.int64(3)]",132,29.705414643075287,30
Qwen2.5-72B-Instruct,Clothing,pajama,"['flannel', 'pajama-pants', 'colorful', 'comfortable', 'warm', 'solid', 'cotton', 'long-sleeved', 'soft', 'loungewear', 'casual', 'loose', 'printed', 'sleepwear', 'cozy', 'nightwear', 'silk', 'relaxed', 'short-sleeved', 'breathable', 'patterned', 'striped']","[np.int64(1), np.int64(1), np.int64(12), np.int64(13), np.int64(9), np.int64(4), np.int64(7), np.int64(4), np.int64(5), np.int64(1), np.int64(13), np.int64(8), np.int64(4), np.int64(1), np.int64(5), np.int64(1), np.int64(2), np.int64(1), np.int64(3), np.int64(16), np.int64(6), np.int64(3)]",120,28.669860490374315,25
Qwen2.5-72B-Instruct,Clothing,poncho,"['versatile', 'woolen', 'handwoven', 'waterproof', 'comfortable', 'breathable', 'cozy', 'cultural', 'lightweight', 'colorful', 'warm', 'protective', 'stylish', 'practical', 'traditional']","[np.int64(13), np.int64(2), np.int64(1), np.int64(3), np.int64(13), np.int64(16), np.int64(5), np.int64(1), np.int64(13), np.int64(12), np.int64(9), np.int64(5), np.int64(14), np.int64(2), np.int64(4)]",113,24.878702187139957,20
Qwen2.5-72B-Instruct,Clothing,robe,"['silky', 'layered', 'colorful', 'comfortable', 'warm', 'solid', 'cotton', 'elegant', 'versatile', 'heavy', 'monochromatic', 'wool', 'casual', 'loose', 'long', 'cozy', 'embroidered', 'ceremonial', 'light', 'silk', 'traditional', 'flowing', 'breathable', 'simple', 'ornate', 'lightweight', 'patterned', 'stylish']","[np.int64(1), np.int64(4), np.int64(12), np.int64(13), np.int64(9), np.int64(4), np.int64(7), np.int64(2), np.int64(13), np.int64(5), np.int64(1), np.int64(2), np.int64(13), np.int64(8), np.int64(3), np.int64(5), np.int64(2), np.int64(2), np.int64(3), np.int64(2), np.int64(4), np.int64(2), np.int64(16), np.int64(2), np.int64(1), np.int64(13), np.int64(6), np.int64(14)]",169,40.59769961827231,29
Qwen2.5-72B-Instruct,Clothing,romper,"['easy-to-wear', 'versatile', 'breathable', 'fabric-soft', 'patterned', 'form-fitting', 'one-piece', 'stylish', 'comfortable', 'casual', 'colorful', 'lightweight', 'playful']","[np.int64(1), np.int64(13), np.int64(16), np.int64(1), np.int64(6), np.int64(2), np.int64(1), np.int64(14), np.int64(13), np.int64(13), np.int64(12), np.int64(13), np.int64(1)]",106,20.641256781277185,6
Qwen2.5-72B-Instruct,Clothing,shirt,"['material', 'comfortable', 'solid', 'color', 'cotton', 'collar', 'care', 'comfort', 'sleeve', 'style', 'long-sleeved', 'heavy', 'fitted', 'button-up', 'sleeveless', 'price', 'fabric', 'season', 'formal', 'casual', 'checked', 'loose', 'durability', 'pattern', 'brand', 'collarless', 'occasion', 'popularity', 'collared', 'short-sleeved', 'polyester', 'breathable', 'lightweight', 'fit', 'origin', 'texture', 'striped', 'size']","[np.int64(1), np.int64(13), np.int64(4), np.int64(1), np.int64(7), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(4), np.int64(5), np.int64(7), np.int64(1), np.int64(5), np.int64(1), np.int64(6), np.int64(1), np.int64(6), np.int64(13), np.int64(2), np.int64(8), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(2), np.int64(16), np.int64(13), np.int64(1), np.int64(1), np.int64(1), np.int64(3), np.int64(1)]",138,29.59720105843505,30
Qwen2.5-72B-Instruct,Clothing,shoe,"['waterproof', 'laces', 'comfortable', 'insole', 'flexible', 'adjustable', 'durable', 'formal', 'casual', 'fabric', 'toe', 'sole', 'leather', 'rubber', 'supportive', 'heel', 'sporty', 'breathable', 'cushioned', 'lightweight', 'stylish']","[np.int64(3), np.int64(1), np.int64(13), np.int64(1), np.int64(4), np.int64(3), np.int64(8), np.int64(6), np.int64(13), np.int64(6), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(2), np.int64(1), np.int64(5), np.int64(16), np.int64(1), np.int64(13), np.int64(14)]",115,25.348705816385696,30
Qwen2.5-72B-Instruct,Clothing,sweater,"['snug', 'layered', 'colorful', 'comfortable', 'warm', 'versatile', 'fitted', 'soft', 'insulating', 'durable', 'casual', 'loose', 'cozy', 'machine-washable', 'textured', 'breathable', 'lightweight', 'knitted', 'stylish', 'stretchy', 'fashionable']","[np.int64(2), np.int64(4), np.int64(12), np.int64(13), np.int64(9), np.int64(13), np.int64(7), np.int64(5), np.int64(1), np.int64(8), np.int64(13), np.int64(8), np.int64(5), np.int64(2), np.int64(2), np.int64(16), np.int64(13), np.int64(1), np.int64(14), np.int64(3), np.int64(3)]",154,35.340204246244525,30
Qwen2.5-72B-Instruct,Clothing,t-shirt,"['unisex', 'colorful', 'comfortable', 'cotton', 'versatile', 'fitted', 'long-sleeved', 'sleeveless', 'formal', 'v-neck', 'loose', 'casual', 'round-neck', 'printed', 'thin', 'machine-washable', 'sporty', 'short-sleeved', 'wearable', 'breathable', 'simple', 'everyday', 'lightweight', 'stylish', 'stretchy']","[np.int64(2), np.int64(12), np.int64(13), np.int64(7), np.int64(13), np.int64(7), np.int64(4), np.int64(5), np.int64(6), np.int64(1), np.int64(8), np.int64(13), np.int64(1), np.int64(4), np.int64(2), np.int64(2), np.int64(5), np.int64(3), np.int64(3), np.int64(16), np.int64(2), np.int64(2), np.int64(13), np.int64(14), np.int64(3)]",161,38.672408756419735,7
Qwen2.5-72B-Instruct,Clothing,underwear,"['elastic', 'supportive', 'intimate', 'reusable', 'close-fitting', 'soft', 'breathable', 'lightweight', 'washable', 'discreet', 'stylish', 'comfortable', 'absorbent', 'durable', 'colorful', 'seamless', 'hypoallergenic']","[np.int64(3), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(5), np.int64(16), np.int64(13), np.int64(3), np.int64(1), np.int64(14), np.int64(13), np.int64(1), np.int64(8), np.int64(12), np.int64(1), np.int64(1)]",96,19.605702628576214,28
Meta-Llama-3.1-8B-Instruct,Furniture,armchair,"['firm', 'chair', 'reclining', 'frame', 'wooden', 'seat', 'armrest', 'comfortable', 'metal', 'soft', 'furniture', 'fabric', 'adjustable', 'padded', 'sturdy', 'backrest', 'leather', 'legs', 'upholstered', 'ergonomic', 'supportive', 'decorative', 'cushioned']","[np.int64(2), np.int64(1), np.int64(3), np.int64(3), np.int64(12), np.int64(4), np.int64(3), np.int64(5), np.int64(8), np.int64(5), np.int64(12), np.int64(4), np.int64(6), np.int64(4), np.int64(7), np.int64(3), np.int64(1), np.int64(5), np.int64(5), np.int64(3), np.int64(3), np.int64(11), np.int64(6)]",116,32.85803484723031,23
Meta-Llama-3.1-8B-Instruct,Furniture,bench,"['public', 'plastic', 'stable', 'wooden', 'foldable', 'fixed', 'heavy', 'private', 'metal', 'furniture', 'narrow', 'wide', 'sturdy', 'long', 'flat', 'indoor', 'short', 'backless', 'wooden slatted', 'upholstered', 'park', 'collapsible', 'portable', 'cushioned', 'stationary', 'outdoor', 'horizontal', 'garden']","[np.int64(1), np.int64(5), np.int64(3), np.int64(12), np.int64(6), np.int64(3), np.int64(5), np.int64(2), np.int64(8), np.int64(12), np.int64(5), np.int64(6), np.int64(7), np.int64(3), np.int64(8), np.int64(3), np.int64(3), np.int64(1), np.int64(1), np.int64(5), np.int64(1), np.int64(1), np.int64(10), np.int64(6), np.int64(10), np.int64(1), np.int64(6), np.int64(1)]",135,35.47077486852819,27
Meta-Llama-3.1-8B-Instruct,Furniture,bookshelf,"['wooden', 'shallow', 'storage', 'functional', 'tall', 'modern', 'fixed', 'antique', 'heavy', 'metal', 'furniture', 'narrow', 'wide', 'movable', 'sturdy', 'flat', 'deep', 'vertical', 'decorative', 'rectangular', 'room', 'freestanding', 'glass', 'attached', 'stationary', 'horizontal']","[np.int64(12), np.int64(2), np.int64(5), np.int64(7), np.int64(5), np.int64(7), np.int64(3), np.int64(6), np.int64(5), np.int64(8), np.int64(12), np.int64(5), np.int64(6), np.int64(4), np.int64(7), np.int64(8), np.int64(2), np.int64(3), np.int64(11), np.int64(9), np.int64(1), np.int64(5), np.int64(5), np.int64(1), np.int64(10), np.int64(6)]",155,41.86585095509501,30
Meta-Llama-3.1-8B-Instruct,Furniture,chair,"['plastic', 'reclining', 'frame', 'seat', 'wooden', 'armrest', 'foldable', 'comfortable', 'folding', 'three-dimensional', 'four-legged', 'stackable', 'metal', 'furniture', 'adjustable', 'fabric', 'armless', 'sturdy', 'backrest', 'swiveling', 'legs', 'indoor', 'sitting', 'upholstered', 'ergonomic', 'supportive', 'portable', 'cushioned', 'stationary']","[np.int64(5), np.int64(3), np.int64(3), np.int64(4), np.int64(12), np.int64(3), np.int64(6), np.int64(5), np.int64(1), np.int64(1), np.int64(4), np.int64(1), np.int64(8), np.int64(12), np.int64(6), np.int64(4), np.int64(1), np.int64(7), np.int64(3), np.int64(1), np.int64(5), np.int64(3), np.int64(1), np.int64(5), np.int64(3), np.int64(3), np.int64(10), np.int64(6), np.int64(10)]",136,37.26253433775624,30
Meta-Llama-3.1-8B-Instruct,Furniture,closet,"['wooden', 'large', 'walk-in', 'shallow', 'small', 'tall', 'mirrored', 'private', 'narrow', 'wide', 'movable', 'spacious', 'interior', 'exterior', 'deep', 'vertical', 'unlocked', 'reach-in', 'locked', 'freestanding', 'stationary', 'sliding', 'enclosed', 'hanging']","[np.int64(12), np.int64(7), np.int64(1), np.int64(2), np.int64(8), np.int64(5), np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(4), np.int64(2), np.int64(2), np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(1), np.int64(5), np.int64(10), np.int64(1), np.int64(3), np.int64(2)]",87,23.175318661863333,11
Meta-Llama-3.1-8B-Instruct,Furniture,desk,"['plastic', 'single', 'old', 'wooden', 'large', 'foldable', 'solid', 'small', 'modern', 'four-legged', 'heavy', 'antique', 'fixed', 'metal', 'furniture', 'adjustable', 'double', 'movable', 'sturdy', 'flat', 'cluttered', 'organized', 'ergonomic', 'rectangular', 'electronic', 'portable', 'glass', 'compact', 'stationary', 'horizontal', 'new']","[np.int64(5), np.int64(1), np.int64(1), np.int64(12), np.int64(7), np.int64(6), np.int64(3), np.int64(8), np.int64(7), np.int64(4), np.int64(5), np.int64(6), np.int64(3), np.int64(8), np.int64(12), np.int64(6), np.int64(1), np.int64(4), np.int64(7), np.int64(8), np.int64(1), np.int64(1), np.int64(3), np.int64(9), np.int64(2), np.int64(10), np.int64(5), np.int64(7), np.int64(10), np.int64(6), np.int64(1)]",169,44.55109766717965,30
Meta-Llama-3.1-8B-Instruct,Furniture,dining table,"['stable', 'wooden', 'large', 'extendable', 'glass-topped', 'foldable', 'oval', 'solid', 'small', 'functional', 'eating', 'modern', 'four-legged', 'heavy', 'antique', 'furniture', 'square', 'wide', 'durable', 'round', 'sturdy', 'long', 'flat', 'indoor', 'decorative', 'rectangular', 'metal-legged', 'ornate', 'stationary', 'horizontal']","[np.int64(3), np.int64(12), np.int64(7), np.int64(1), np.int64(1), np.int64(6), np.int64(1), np.int64(3), np.int64(8), np.int64(7), np.int64(1), np.int64(7), np.int64(4), np.int64(5), np.int64(6), np.int64(12), np.int64(4), np.int64(6), np.int64(1), np.int64(2), np.int64(7), np.int64(3), np.int64(8), np.int64(3), np.int64(11), np.int64(9), np.int64(1), np.int64(1), np.int64(10), np.int64(6)]",156,40.44670276910404,10
Meta-Llama-3.1-8B-Instruct,Furniture,end table,"['low', 'stable', 'wooden', 'solid', 'small', 'base', 'storage', 'functional', 'tall', 'four-legged', 'metal', 'furniture', 'square', 'narrow', 'top', 'wide', 'table', 'sturdy', 'long', 'surface', 'flat', 'legs', 'shelf', 'short', 'decorative', 'rectangular', 'glass', 'compact', 'drawer', 'stationary', 'piece', 'horizontal']","[np.int64(3), np.int64(3), np.int64(12), np.int64(3), np.int64(8), np.int64(2), np.int64(5), np.int64(7), np.int64(5), np.int64(4), np.int64(8), np.int64(12), np.int64(4), np.int64(5), np.int64(1), np.int64(6), np.int64(3), np.int64(7), np.int64(3), np.int64(1), np.int64(8), np.int64(5), np.int64(2), np.int64(3), np.int64(11), np.int64(9), np.int64(5), np.int64(7), np.int64(2), np.int64(10), np.int64(3), np.int64(6)]",173,48.11659810013308,17
Meta-Llama-3.1-8B-Instruct,Furniture,hutch,"['wooden', 'vintage', 'large', 'small', 'storage', 'functional', 'modern', 'antique', 'furniture', 'interior', 'shelf', 'wooden-shelved', 'household', 'compartmentalized', 'decorative', 'rectangular', 'multi-tiered', 'freestanding', 'portable', 'compact', 'enclosed', 'cabinet']","[np.int64(12), np.int64(1), np.int64(7), np.int64(8), np.int64(5), np.int64(7), np.int64(7), np.int64(6), np.int64(12), np.int64(2), np.int64(2), np.int64(1), np.int64(2), np.int64(1), np.int64(11), np.int64(9), np.int64(1), np.int64(5), np.int64(10), np.int64(7), np.int64(3), np.int64(1)]",120,29.91928950504992,7
Meta-Llama-3.1-8B-Instruct,Furniture,lamp,"['plastic', 'ceiling', 'desk', 'corded', 'functional', 'ceramic', 'floor', 'metal', 'adjustable', 'table', 'battery-powered', 'energy-efficient', 'wireless', 'powered', 'plug-in', 'dimmable', 'wall', 'electric', 'decorative', 'portable', 'cordless', 'glass', 'stationary', 'directional']","[np.int64(5), np.int64(1), np.int64(2), np.int64(1), np.int64(7), np.int64(1), np.int64(2), np.int64(8), np.int64(6), np.int64(3), np.int64(2), np.int64(2), np.int64(1), np.int64(2), np.int64(2), np.int64(2), np.int64(1), np.int64(2), np.int64(11), np.int64(10), np.int64(2), np.int64(5), np.int64(10), np.int64(1)]",89,23.375989357325484,28
Meta-Llama-3.1-8B-Instruct,Furniture,loveseat,"['reclining', 'frame', 'seat', 'armrest', 'foldable', 'comfortable', 'two-seated', 'soft', 'two-seater', 'furniture', 'adjustable', 'fabric', 'sofa', 'padded', 'backrest', 'intimate', 'cozy', 'legs', 'cushion', 'upholstered', 'portable', 'cushioned', 'compact', 'back', 'space-saving']","[np.int64(3), np.int64(3), np.int64(4), np.int64(3), np.int64(6), np.int64(5), np.int64(1), np.int64(5), np.int64(1), np.int64(12), np.int64(6), np.int64(4), np.int64(1), np.int64(4), np.int64(3), np.int64(1), np.int64(1), np.int64(5), np.int64(2), np.int64(5), np.int64(10), np.int64(6), np.int64(7), np.int64(2), np.int64(2)]",102,29.179205728969862,15
Meta-Llama-3.1-8B-Instruct,Furniture,mattress,"['firm', 'waterproof', 'foldable', 'comfortable', 'hybrid', 'plush', 'soft', 'square', 'thick', 'padded', 'round', 'thin', 'flat', 'memory-foam', 'supportive', 'rectangular', 'innerspring', 'portable', 'breathable', 'cushioned', 'hypoallergenic', 'coil']","[np.int64(2), np.int64(1), np.int64(6), np.int64(5), np.int64(1), np.int64(1), np.int64(5), np.int64(4), np.int64(1), np.int64(4), np.int64(2), np.int64(1), np.int64(8), np.int64(1), np.int64(3), np.int64(9), np.int64(1), np.int64(10), np.int64(1), np.int64(6), np.int64(1), np.int64(1)]",74,18.639141347362195,7
Meta-Llama-3.1-8B-Instruct,Furniture,mirror,"['metallic', 'one-way', 'opaque', 'polished', 'transparent', 'reflective', 'shiny', 'plain', 'unframed', 'framed', 'smooth', 'two-way', 'flat', 'convex', 'clear', 'silvered', 'decorative', 'glass', 'beveled', 'glassy', 'concave']","[np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(8), np.int64(1), np.int64(1), np.int64(1), np.int64(11), np.int64(5), np.int64(1), np.int64(1), np.int64(1)]",44,7.473069088032197,27
Meta-Llama-3.1-8B-Instruct,Furniture,night lamp,"['table-top', 'calming', 'soothing', 'large', 'bright', 'warm', 'small', 'desk', 'modern', 'floor', 'gentle', 'ambient', 'soft', 'adjustable', 'battery-powered', 'energy-efficient', 'powered', 'plug-in', 'dimmable', 'traditional', 'electric', 'decorative', 'low-voltage', 'portable', 'cordless', 'floor-standing', 'compact', 'stationary']","[np.int64(1), np.int64(1), np.int64(1), np.int64(7), np.int64(1), np.int64(1), np.int64(8), np.int64(2), np.int64(7), np.int64(2), np.int64(1), np.int64(1), np.int64(5), np.int64(6), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(2), np.int64(1), np.int64(2), np.int64(11), np.int64(1), np.int64(10), np.int64(2), np.int64(1), np.int64(7), np.int64(10)]",99,24.5597594543339,8
Meta-Llama-3.1-8B-Instruct,Furniture,nightstand,"['plastic', 'low', 'wooden', 'bedside', 'minimalist', 'small', 'functional', 'tall', 'modern', 'antique', 'metal', 'furniture', 'narrow', 'wide', 'table', 'flat', 'short', 'horizontal', 'household', 'decorative', 'rectangular', 'freestanding', 'portable', 'simple', 'compact', 'drawer', 'stationary', 'piece', 'low-to-the-ground']","[np.int64(5), np.int64(3), np.int64(12), np.int64(1), np.int64(1), np.int64(8), np.int64(7), np.int64(5), np.int64(7), np.int64(6), np.int64(8), np.int64(12), np.int64(5), np.int64(6), np.int64(3), np.int64(8), np.int64(3), np.int64(6), np.int64(2), np.int64(11), np.int64(9), np.int64(5), np.int64(10), np.int64(1), np.int64(7), np.int64(2), np.int64(10), np.int64(3), np.int64(1)]",167,43.839931981117026,30
Meta-Llama-3.1-8B-Instruct,Furniture,ottoman,"['low', 'seat', 'large', 'cube', 'comfortable', 'small', 'base', 'storage', 'soft', 'furniture', 'square', 'fabric', 'cube-shaped', 'padded', 'legs', 'cushion', 'upholstered', 'rectangular', 'cushioned', 'compact', 'back', 'piece']","[np.int64(3), np.int64(4), np.int64(7), np.int64(1), np.int64(5), np.int64(8), np.int64(2), np.int64(5), np.int64(5), np.int64(12), np.int64(4), np.int64(4), np.int64(1), np.int64(4), np.int64(5), np.int64(2), np.int64(5), np.int64(9), np.int64(6), np.int64(7), np.int64(2), np.int64(3)]",104,30.314185661808846,30
Meta-Llama-3.1-8B-Instruct,Furniture,piano,"['expensive', 'upright', 'acoustic', 'noisy', 'wooden', 'polished', 'large', 'black', 'grand', 'instrument', 'versatile', 'silent', 'heavy', 'antique', 'modern', 'tunable', 'shiny', 'white', 'musical', 'sensitive', 'intricate', 'delicate', 'complex', 'decorative', 'beautiful', 'valuable', 'electronic', 'keyboard', 'portable', 'melodic', 'fragile', 'expressive']","[np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(12), np.int64(2), np.int64(7), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(5), np.int64(6), np.int64(7), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(11), np.int64(1), np.int64(1), np.int64(2), np.int64(1), np.int64(10), np.int64(1), np.int64(1), np.int64(1)]",87,17.25099341759298,5
Meta-Llama-3.1-8B-Instruct,Furniture,wardrobe,"['upright', 'enclosed', 'wooden', 'multi-shelved', 'lockable', 'storage', 'functional', 'tall', 'furniture', 'shelves', 'closet', 'movable', 'spacious', 'secure', 'vertical', 'drawers', 'decorative', 'rectangular', 'freestanding', 'space-saving', 'door', 'hanging']","[np.int64(2), np.int64(3), np.int64(12), np.int64(1), np.int64(1), np.int64(5), np.int64(7), np.int64(5), np.int64(12), np.int64(1), np.int64(1), np.int64(4), np.int64(2), np.int64(1), np.int64(3), np.int64(1), np.int64(11), np.int64(9), np.int64(5), np.int64(2), np.int64(1), np.int64(2)]",91,22.69526469676409,30
Meta-Llama-3.1-8B-Instruct,Vehicle,airplane,"['metallic', 'aerodynamic', 'noisy', 'large', 'long-range', 'powerful', 'private', 'metal', 'pressurized', 'multi-engine', 'single-engine', 'commercial', 'high-tech', 'complex', 'man-made', 'fast', 'winged', 'military', 'climate-controlled', 'high-altitude']","[np.int64(2), np.int64(4), np.int64(6), np.int64(10), np.int64(1), np.int64(6), np.int64(1), np.int64(7), np.int64(1), np.int64(1), np.int64(1), np.int64(2), np.int64(2), np.int64(3), np.int64(1), np.int64(5), np.int64(2), np.int64(2), np.int64(1), np.int64(1)]",59,15.392094645527296,29
Meta-Llama-3.1-8B-Instruct,Vehicle,boat,"['propelled', 'movable', 'aquatic', 'riverine', 'floating', 'buoyant', 'seaworthy', 'watercraft', 'motorized', 'seafaring', 'floatable', 'watertight', 'watery', 'navigable', 'sailable', 'powered', 'vessel']","[np.int64(2), np.int64(4), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(12), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(8), np.int64(1)]",39,6.643789733147672,30
Meta-Llama-3.1-8B-Instruct,Vehicle,cart,"['plastic', 'wooden', 'large', 'single-wheeled', 'foldable', 'small', 'metal', 'fabric', 'two-wheeled', 'movable', 'heavy-duty', 'flat', 'four-wheeled', 'compartmentalized', 'rectangular', 'collapsible', 'portable', 'lightweight', 'compact', 'wheeled', 'enclosed']","[np.int64(1), np.int64(2), np.int64(10), np.int64(1), np.int64(5), np.int64(4), np.int64(7), np.int64(1), np.int64(5), np.int64(4), np.int64(2), np.int64(2), np.int64(5), np.int64(1), np.int64(3), np.int64(2), np.int64(5), np.int64(7), np.int64(4), np.int64(12), np.int64(7)]",90,25.093057933951947,5
Meta-Llama-3.1-8B-Instruct,Vehicle,glider,"['controlled', 'aerodynamic', 'single-seat', 'stable', 'motorized', 'slow-moving', 'non-motorized', 'sailplane', 'small', 'low-altitude', 'low-speed', 'slow', 'airborne', 'sensitive', 'powered', 'responsive', 'maneuverable', 'hang-gliding', 'soaring', 'winged', 'lightweight', 'fragile']","[np.int64(2), np.int64(4), np.int64(1), np.int64(2), np.int64(12), np.int64(2), np.int64(1), np.int64(1), np.int64(4), np.int64(1), np.int64(2), np.int64(3), np.int64(1), np.int64(1), np.int64(8), np.int64(1), np.int64(2), np.int64(1), np.int64(1), np.int64(2), np.int64(7), np.int64(1)]",60,14.540342434790713,11
